protocol,request_num,rtt_ms,payload_bytes,header_bytes,total_bytes,status
CoAP,1,8.983,512,9,521,ok
CoAP,2,10.989,512,9,521,ok
CoAP,3,11.094,512,9,521,ok
CoAP,4,20.876,512,9,521,ok
CoAP,5,10.601,512,9,521,ok
CoAP,6,11.1,512,9,521,ok
CoAP,7,10.702,512,9,521,ok
CoAP,8,10.399,512,9,521,ok
CoAP,9,8.931,512,9,521,ok
CoAP,10,10.386,512,9,521,ok
CoAP,11,8.958,512,9,521,ok
CoAP,12,10.395,512,9,521,ok
CoAP,13,6.481,512,9,521,ok
CoAP,14,10.71,512,9,521,ok
CoAP,15,8.696,512,9,521,ok
CoAP,16,10.657,512,9,521,ok
CoAP,17,8.584,512,9,521,ok
CoAP,18,8.662,512,9,521,ok
CoAP,19,6.659,512,9,521,ok
CoAP,20,83.966,512,9,521,ok
CoAP,21,10.664,512,9,521,ok
CoAP,22,10.872,512,9,521,ok
CoAP,23,8.219,512,9,521,ok
CoAP,24,11.426,512,9,521,ok
CoAP,25,10.376,512,9,521,ok
CoAP,26,10.439,512,9,521,ok
CoAP,27,10.728,512,9,521,ok
CoAP,28,6.447,512,9,521,ok
CoAP,29,10.783,512,9,521,ok
CoAP,30,12.836,512,9,521,ok
CoAP,31,8.577,512,9,521,ok
CoAP,32,10.72,512,9,521,ok
CoAP,33,8.58,512,9,521,ok
CoAP,34,9.048,512,9,521,ok
CoAP,35,10.381,512,9,521,ok
CoAP,36,12.905,512,9,521,ok
CoAP,37,6.384,512,9,521,ok
CoAP,38,8.819,512,9,521,ok
CoAP,39,10.702,512,9,521,ok
CoAP,40,10.489,512,9,521,ok
CoAP,41,8.589,512,9,521,ok
CoAP,42,10.706,512,9,521,ok
CoAP,43,8.943,512,9,521,ok
CoAP,44,8.278,512,9,521,ok
CoAP,45,6.77,512,9,521,ok
CoAP,46,8.25,512,9,521,ok
CoAP,47,6.681,512,9,521,ok
CoAP,48,10.418,512,9,521,ok
CoAP,49,8.925,512,9,521,ok
CoAP,50,10.412,512,9,521,ok
CoAP,51,6.43,512,9,521,ok
CoAP,52,10.767,512,9,521,ok
CoAP,53,8.911,512,9,521,ok
CoAP,54,10.432,512,9,521,ok
CoAP,55,6.788,512,9,521,ok
CoAP,56,10.378,512,9,521,ok
CoAP,57,10.781,512,9,521,ok
CoAP,58,8.876,512,9,521,ok
CoAP,59,10.399,512,9,521,ok
CoAP,60,10.717,512,9,521,ok
CoAP,61,10.812,512,9,521,ok
CoAP,62,6.704,512,9,521,ok
CoAP,63,10.456,512,9,521,ok
CoAP,64,8.894,512,9,521,ok
CoAP,65,12.6,512,9,521,ok
CoAP,66,8.525,512,9,521,ok
CoAP,67,8.954,512,9,521,ok
CoAP,68,94.758,512,9,521,ok
CoAP,69,10.516,512,9,521,ok
CoAP,70,8.685,512,9,521,ok
CoAP,71,10.966,512,9,521,ok
CoAP,72,10.436,512,9,521,ok
CoAP,73,6.688,512,9,521,ok
CoAP,74,10.652,512,9,521,ok
CoAP,75,10.556,512,9,521,ok
CoAP,76,6.45,512,9,521,ok
CoAP,77,6.689,512,9,521,ok
CoAP,78,8.356,512,9,521,ok
CoAP,79,10.739,512,9,521,ok
CoAP,80,8.598,512,9,521,ok
CoAP,81,8.493,512,9,521,ok
CoAP,82,10.81,512,9,521,ok
CoAP,83,10.721,512,9,521,ok
CoAP,84,8.578,512,9,521,ok
CoAP,85,8.573,512,9,521,ok
CoAP,86,8.938,512,9,521,ok
CoAP,87,10.457,512,9,521,ok
CoAP,88,6.379,512,9,521,ok
CoAP,89,8.584,512,9,521,ok
CoAP,90,8.914,512,9,521,ok
CoAP,91,10.43,512,9,521,ok
CoAP,92,8.906,512,9,521,ok
CoAP,93,10.412,512,9,521,ok
CoAP,94,6.409,512,9,521,ok
CoAP,95,8.613,512,9,521,ok
CoAP,96,8.874,512,9,521,ok
CoAP,97,8.345,512,9,521,ok
CoAP,98,6.722,512,9,521,ok
CoAP,99,10.443,512,9,521,ok
CoAP,100,6.396,512,9,521,ok
