protocol,request_num,rtt_ms,payload_bytes,header_bytes,total_bytes,status
HTTP,1,0.83,256,153,409,ok
HTTP,2,0.31,256,153,409,ok
HTTP,3,0.272,256,153,409,ok
HTTP,4,0.271,256,153,409,ok
HTTP,5,0.384,256,153,409,ok
HTTP,6,0.283,256,153,409,ok
HTTP,7,0.289,256,153,409,ok
HTTP,8,0.306,256,153,409,ok
HTTP,9,0.378,256,153,409,ok
HTTP,10,0.375,256,153,409,ok
HTTP,11,0.384,256,153,409,ok
HTTP,12,0.383,256,153,409,ok
HTTP,13,0.391,256,153,409,ok
HTTP,14,0.453,256,153,409,ok
HTTP,15,0.487,256,153,409,ok
HTTP,16,0.456,256,153,409,ok
HTTP,17,0.369,256,153,409,ok
HTTP,18,0.477,256,153,409,ok
HTTP,19,0.453,256,153,409,ok
HTTP,20,0.461,256,153,409,ok
HTTP,21,0.417,256,153,409,ok
HTTP,22,0.38,256,153,409,ok
HTTP,23,0.436,256,153,409,ok
HTTP,24,0.423,256,153,409,ok
HTTP,25,0.413,256,153,409,ok
HTTP,26,0.361,256,153,409,ok
HTTP,27,0.366,256,153,409,ok
HTTP,28,0.383,256,153,409,ok
HTTP,29,0.357,256,153,409,ok
HTTP,30,0.369,256,153,409,ok
HTTP,31,0.429,256,153,409,ok
HTTP,32,0.395,256,153,409,ok
HTTP,33,0.382,256,153,409,ok
HTTP,34,0.457,256,153,409,ok
HTTP,35,0.527,256,153,409,ok
HTTP,36,0.517,256,153,409,ok
HTTP,37,0.418,256,153,409,ok
HTTP,38,0.379,256,153,409,ok
HTTP,39,0.325,256,153,409,ok
HTTP,40,0.307,256,153,409,ok
HTTP,41,0.331,256,153,409,ok
HTTP,42,0.302,256,153,409,ok
HTTP,43,0.304,256,153,409,ok
HTTP,44,0.303,256,153,409,ok
HTTP,45,0.422,256,153,409,ok
HTTP,46,0.314,256,153,409,ok
HTTP,47,0.338,256,153,409,ok
HTTP,48,0.35,256,153,409,ok
HTTP,49,0.506,256,153,409,ok
HTTP,50,0.403,256,153,409,ok
HTTP,51,0.44,256,153,409,ok
HTTP,52,0.309,256,153,409,ok
HTTP,53,0.302,256,153,409,ok
HTTP,54,0.283,256,153,409,ok
HTTP,55,0.341,256,153,409,ok
HTTP,56,0.293,256,153,409,ok
HTTP,57,0.27,256,153,409,ok
HTTP,58,0.292,256,153,409,ok
HTTP,59,0.3,256,153,409,ok
HTTP,60,0.272,256,153,409,ok
HTTP,61,0.267,256,153,409,ok
HTTP,62,0.294,256,153,409,ok
HTTP,63,0.268,256,153,409,ok
HTTP,64,0.267,256,153,409,ok
HTTP,65,0.495,256,153,409,ok
HTTP,66,0.47,256,153,409,ok
HTTP,67,0.398,256,153,409,ok
HTTP,68,0.372,256,153,409,ok
HTTP,69,0.368,256,153,409,ok
HTTP,70,0.417,256,153,409,ok
HTTP,71,0.345,256,153,409,ok
HTTP,72,0.342,256,153,409,ok
HTTP,73,0.363,256,153,409,ok
HTTP,74,0.408,256,153,409,ok
HTTP,75,0.337,256,153,409,ok
HTTP,76,0.466,256,153,409,ok
HTTP,77,0.344,256,153,409,ok
HTTP,78,0.353,256,153,409,ok
HTTP,79,0.344,256,153,409,ok
HTTP,80,0.543,256,153,409,ok
HTTP,81,0.371,256,153,409,ok
HTTP,82,0.341,256,153,409,ok
HTTP,83,0.718,256,153,409,ok
HTTP,84,0.352,256,153,409,ok
HTTP,85,0.343,256,153,409,ok
HTTP,86,0.373,256,153,409,ok
HTTP,87,0.353,256,153,409,ok
HTTP,88,0.343,256,153,409,ok
HTTP,89,0.376,256,153,409,ok
HTTP,90,0.359,256,153,409,ok
HTTP,91,0.361,256,153,409,ok
HTTP,92,0.378,256,153,409,ok
HTTP,93,0.349,256,153,409,ok
HTTP,94,0.349,256,153,409,ok
HTTP,95,0.39,256,153,409,ok
HTTP,96,0.349,256,153,409,ok
HTTP,97,0.384,256,153,409,ok
HTTP,98,0.351,256,153,409,ok
HTTP,99,0.587,256,153,409,ok
HTTP,100,0.383,256,153,409,ok
