protocol,request_num,rtt_ms,payload_bytes,header_bytes,total_bytes,status
CoAP,1,43.815,4096,11,4107,ok
CoAP,2,36.918,4096,11,4107,ok
CoAP,3,34.804,4096,11,4107,ok
CoAP,4,41.443,4096,11,4107,ok
CoAP,5,39.235,4096,11,4107,ok
CoAP,6,34.82,4096,11,4107,ok
CoAP,7,37.214,4096,11,4107,ok
CoAP,8,41.477,4096,11,4107,ok
CoAP,9,32.446,4096,11,4107,ok
CoAP,10,37.132,4096,11,4107,ok
CoAP,11,32.652,4096,11,4107,ok
CoAP,12,30.478,4096,11,4107,ok
CoAP,13,32.755,4096,11,4107,ok
CoAP,14,34.771,4096,11,4107,ok
CoAP,15,37.059,4096,11,4107,ok
CoAP,16,34.874,4096,11,4107,ok
CoAP,17,41.441,4096,11,4107,ok
CoAP,18,30.501,4096,11,4107,ok
CoAP,19,32.693,4096,11,4107,ok
CoAP,20,30.462,4096,11,4107,ok
CoAP,21,30.507,4096,11,4107,ok
CoAP,22,39.291,4096,11,4107,ok
CoAP,23,32.652,4096,11,4107,ok
CoAP,24,34.84,4096,11,4107,ok
CoAP,25,37.069,4096,11,4107,ok
CoAP,26,41.476,4096,11,4107,ok
CoAP,27,91.597,4096,11,4107,ok
CoAP,28,47.916,4096,11,4107,ok
CoAP,29,32.695,4096,11,4107,ok
CoAP,30,34.926,4096,11,4107,ok
CoAP,31,43.602,4096,11,4107,ok
CoAP,32,35.218,4096,11,4107,ok
CoAP,33,38.999,4096,11,4107,ok
CoAP,34,39.309,4096,11,4107,ok
CoAP,35,36.974,4096,11,4107,ok
CoAP,36,34.755,4096,11,4107,ok
CoAP,37,37.021,4096,11,4107,ok
CoAP,38,32.713,4096,11,4107,ok
CoAP,39,39.156,4096,11,4107,ok
CoAP,40,39.15,4096,11,4107,ok
CoAP,41,34.904,4096,11,4107,ok
CoAP,42,32.663,4096,11,4107,ok
CoAP,43,32.696,4096,11,4107,ok
CoAP,44,36.973,4096,11,4107,ok
CoAP,45,34.84,4096,11,4107,ok
CoAP,46,43.751,4096,11,4107,ok
CoAP,47,35.009,4096,11,4107,ok
CoAP,48,34.541,4096,11,4107,ok
CoAP,49,37.081,4096,11,4107,ok
CoAP,50,38.664,4096,11,4107,ok
CoAP,51,38.435,4096,11,4107,ok
CoAP,52,37.34,4096,11,4107,ok
CoAP,53,31.558,4096,11,4107,ok
CoAP,54,36.461,4096,11,4107,ok
CoAP,55,28.879,4096,11,4107,ok
CoAP,56,32.667,4096,11,4107,ok
CoAP,57,34.937,4096,11,4107,ok
CoAP,58,30.507,4096,11,4107,ok
CoAP,59,36.96,4096,11,4107,ok
CoAP,60,28.401,4096,11,4107,ok
CoAP,61,34.844,4096,11,4107,ok
CoAP,62,41.411,4096,11,4107,ok
CoAP,63,43.02,4096,11,4107,ok
CoAP,64,43.644,4096,11,4107,ok
CoAP,65,42.006,4096,11,4107,ok
CoAP,66,51.753,4096,11,4107,ok
CoAP,67,35.567,4096,11,4107,ok
CoAP,68,41.42,4096,11,4107,ok
CoAP,69,45.821,4096,11,4107,ok
CoAP,70,41.336,4096,11,4107,ok
CoAP,71,37.07,4096,11,4107,ok
CoAP,72,41.547,4096,11,4107,ok
CoAP,73,43.579,4096,11,4107,ok
CoAP,74,41.293,4096,11,4107,ok
CoAP,75,39.142,4096,11,4107,ok
CoAP,76,41.483,4096,11,4107,ok
CoAP,77,37.248,4096,11,4107,ok
CoAP,78,43.26,4096,11,4107,ok
CoAP,79,39.19,4096,11,4107,ok
CoAP,80,47.018,4096,11,4107,ok
CoAP,81,42.264,4096,11,4107,ok
CoAP,82,37.075,4096,11,4107,ok
CoAP,83,39.138,4096,11,4107,ok
CoAP,84,39.236,4096,11,4107,ok
CoAP,85,37.032,4096,11,4107,ok
CoAP,86,41.344,4096,11,4107,ok
CoAP,87,34.791,4096,11,4107,ok
CoAP,88,37.058,4096,11,4107,ok
CoAP,89,39.194,4096,11,4107,ok
CoAP,90,34.787,4096,11,4107,ok
CoAP,91,39.237,4096,11,4107,ok
CoAP,92,43.546,4096,11,4107,ok
CoAP,93,37.006,4096,11,4107,ok
CoAP,94,39.249,4096,11,4107,ok
CoAP,95,39.148,4096,11,4107,ok
CoAP,96,36.999,4096,11,4107,ok
CoAP,97,43.715,4096,11,4107,ok
CoAP,98,41.221,4096,11,4107,ok
CoAP,99,39.132,4096,11,4107,ok
CoAP,100,39.256,4096,11,4107,ok
