protocol,request_num,rtt_ms,payload_bytes,header_bytes,total_bytes,status
CoAP,1,1.325,1024,9,1033,ok
CoAP,2,0.926,1024,9,1033,ok
CoAP,3,0.826,1024,9,1033,ok
CoAP,4,1.175,1024,9,1033,ok
CoAP,5,1.043,1024,9,1033,ok
CoAP,6,1.05,1024,9,1033,ok
CoAP,7,1.038,1024,9,1033,ok
CoAP,8,1.01,1024,9,1033,ok
CoAP,9,1.005,1024,9,1033,ok
CoAP,10,1.023,1024,9,1033,ok
CoAP,11,0.988,1024,9,1033,ok
CoAP,12,0.98,1024,9,1033,ok
CoAP,13,1.301,1024,9,1033,ok
CoAP,14,1.06,1024,9,1033,ok
CoAP,15,1.134,1024,9,1033,ok
CoAP,16,1.075,1024,9,1033,ok
CoAP,17,0.977,1024,9,1033,ok
CoAP,18,1.022,1024,9,1033,ok
CoAP,19,0.885,1024,9,1033,ok
CoAP,20,0.78,1024,9,1033,ok
CoAP,21,0.834,1024,9,1033,ok
CoAP,22,0.777,1024,9,1033,ok
CoAP,23,0.888,1024,9,1033,ok
CoAP,24,0.776,1024,9,1033,ok
CoAP,25,0.871,1024,9,1033,ok
CoAP,26,0.778,1024,9,1033,ok
CoAP,27,0.721,1024,9,1033,ok
CoAP,28,0.775,1024,9,1033,ok
CoAP,29,0.797,1024,9,1033,ok
CoAP,30,0.796,1024,9,1033,ok
CoAP,31,0.76,1024,9,1033,ok
CoAP,32,0.918,1024,9,1033,ok
CoAP,33,0.758,1024,9,1033,ok
CoAP,34,0.863,1024,9,1033,ok
CoAP,35,0.753,1024,9,1033,ok
CoAP,36,0.794,1024,9,1033,ok
CoAP,37,0.745,1024,9,1033,ok
CoAP,38,0.781,1024,9,1033,ok
CoAP,39,0.875,1024,9,1033,ok
CoAP,40,0.762,1024,9,1033,ok
CoAP,41,0.968,1024,9,1033,ok
CoAP,42,0.861,1024,9,1033,ok
CoAP,43,0.733,1024,9,1033,ok
CoAP,44,0.75,1024,9,1033,ok
CoAP,45,0.754,1024,9,1033,ok
CoAP,46,0.727,1024,9,1033,ok
CoAP,47,0.801,1024,9,1033,ok
CoAP,48,0.761,1024,9,1033,ok
CoAP,49,0.801,1024,9,1033,ok
CoAP,50,0.889,1024,9,1033,ok
CoAP,51,0.77,1024,9,1033,ok
CoAP,52,0.859,1024,9,1033,ok
CoAP,53,0.736,1024,9,1033,ok
CoAP,54,0.736,1024,9,1033,ok
CoAP,55,0.837,1024,9,1033,ok
CoAP,56,0.841,1024,9,1033,ok
CoAP,57,0.795,1024,9,1033,ok
CoAP,58,0.919,1024,9,1033,ok
CoAP,59,0.789,1024,9,1033,ok
CoAP,60,0.755,1024,9,1033,ok
CoAP,61,0.941,1024,9,1033,ok
CoAP,62,0.998,1024,9,1033,ok
CoAP,63,0.804,1024,9,1033,ok
CoAP,64,0.791,1024,9,1033,ok
CoAP,65,0.749,1024,9,1033,ok
CoAP,66,0.772,1024,9,1033,ok
CoAP,67,0.761,1024,9,1033,ok
CoAP,68,0.815,1024,9,1033,ok
CoAP,69,0.766,1024,9,1033,ok
CoAP,70,0.798,1024,9,1033,ok
CoAP,71,0.747,1024,9,1033,ok
CoAP,72,0.783,1024,9,1033,ok
CoAP,73,0.801,1024,9,1033,ok
CoAP,74,0.793,1024,9,1033,ok
CoAP,75,0.782,1024,9,1033,ok
CoAP,76,0.83,1024,9,1033,ok
CoAP,77,0.743,1024,9,1033,ok
CoAP,78,0.76,1024,9,1033,ok
CoAP,79,0.769,1024,9,1033,ok
CoAP,80,0.748,1024,9,1033,ok
CoAP,81,1.119,1024,9,1033,ok
CoAP,82,0.789,1024,9,1033,ok
CoAP,83,0.752,1024,9,1033,ok
CoAP,84,0.78,1024,9,1033,ok
CoAP,85,0.749,1024,9,1033,ok
CoAP,86,0.804,1024,9,1033,ok
CoAP,87,0.777,1024,9,1033,ok
CoAP,88,0.759,1024,9,1033,ok
CoAP,89,0.804,1024,9,1033,ok
CoAP,90,0.79,1024,9,1033,ok
CoAP,91,0.892,1024,9,1033,ok
CoAP,92,0.729,1024,9,1033,ok
CoAP,93,0.738,1024,9,1033,ok
CoAP,94,0.748,1024,9,1033,ok
CoAP,95,0.892,1024,9,1033,ok
CoAP,96,0.776,1024,9,1033,ok
CoAP,97,0.723,1024,9,1033,ok
CoAP,98,0.756,1024,9,1033,ok
CoAP,99,0.776,1024,9,1033,ok
CoAP,100,0.78,1024,9,1033,ok
