protocol,request_num,rtt_ms,payload_bytes,header_bytes,total_bytes,status
HTTP,1,0.727,2048,154,2202,ok
HTTP,2,0.385,2048,154,2202,ok
HTTP,3,0.31,2048,154,2202,ok
HTTP,4,0.288,2048,154,2202,ok
HTTP,5,0.271,2048,154,2202,ok
HTTP,6,0.273,2048,154,2202,ok
HTTP,7,0.305,2048,154,2202,ok
HTTP,8,0.272,2048,154,2202,ok
HTTP,9,0.267,2048,154,2202,ok
HTTP,10,0.281,2048,154,2202,ok
HTTP,11,0.266,2048,154,2202,ok
HTTP,12,0.265,2048,154,2202,ok
HTTP,13,0.265,2048,154,2202,ok
HTTP,14,0.279,2048,154,2202,ok
HTTP,15,0.264,2048,154,2202,ok
HTTP,16,0.266,2048,154,2202,ok
HTTP,17,0.264,2048,154,2202,ok
HTTP,18,0.27,2048,154,2202,ok
HTTP,19,0.265,2048,154,2202,ok
HTTP,20,0.267,2048,154,2202,ok
HTTP,21,0.265,2048,154,2202,ok
HTTP,22,0.3,2048,154,2202,ok
HTTP,23,0.376,2048,154,2202,ok
HTTP,24,0.336,2048,154,2202,ok
HTTP,25,0.321,2048,154,2202,ok
HTTP,26,0.269,2048,154,2202,ok
HTTP,27,0.267,2048,154,2202,ok
HTTP,28,0.266,2048,154,2202,ok
HTTP,29,0.28,2048,154,2202,ok
HTTP,30,0.267,2048,154,2202,ok
HTTP,31,0.265,2048,154,2202,ok
HTTP,32,0.265,2048,154,2202,ok
HTTP,33,0.429,2048,154,2202,ok
HTTP,34,0.357,2048,154,2202,ok
HTTP,35,0.279,2048,154,2202,ok
HTTP,36,0.362,2048,154,2202,ok
HTTP,37,0.296,2048,154,2202,ok
HTTP,38,0.291,2048,154,2202,ok
HTTP,39,0.337,2048,154,2202,ok
HTTP,40,0.273,2048,154,2202,ok
HTTP,41,0.27,2048,154,2202,ok
HTTP,42,0.267,2048,154,2202,ok
HTTP,43,0.319,2048,154,2202,ok
HTTP,44,0.27,2048,154,2202,ok
HTTP,45,0.27,2048,154,2202,ok
HTTP,46,0.279,2048,154,2202,ok
HTTP,47,0.272,2048,154,2202,ok
HTTP,48,0.265,2048,154,2202,ok
HTTP,49,0.265,2048,154,2202,ok
HTTP,50,0.287,2048,154,2202,ok
HTTP,51,0.277,2048,154,2202,ok
HTTP,52,0.267,2048,154,2202,ok
HTTP,53,0.266,2048,154,2202,ok
HTTP,54,0.281,2048,154,2202,ok
HTTP,55,0.271,2048,154,2202,ok
HTTP,56,0.282,2048,154,2202,ok
HTTP,57,0.264,2048,154,2202,ok
HTTP,58,0.404,2048,154,2202,ok
HTTP,59,0.375,2048,154,2202,ok
HTTP,60,0.529,2048,154,2202,ok
HTTP,61,0.289,2048,154,2202,ok
HTTP,62,0.27,2048,154,2202,ok
HTTP,63,0.281,2048,154,2202,ok
HTTP,64,0.276,2048,154,2202,ok
HTTP,65,0.265,2048,154,2202,ok
HTTP,66,0.264,2048,154,2202,ok
HTTP,67,0.279,2048,154,2202,ok
HTTP,68,0.265,2048,154,2202,ok
HTTP,69,0.263,2048,154,2202,ok
HTTP,70,0.263,2048,154,2202,ok
HTTP,71,0.271,2048,154,2202,ok
HTTP,72,0.268,2048,154,2202,ok
HTTP,73,0.264,2048,154,2202,ok
HTTP,74,0.263,2048,154,2202,ok
HTTP,75,0.285,2048,154,2202,ok
HTTP,76,0.279,2048,154,2202,ok
HTTP,77,0.267,2048,154,2202,ok
HTTP,78,0.266,2048,154,2202,ok
HTTP,79,0.335,2048,154,2202,ok
HTTP,80,0.269,2048,154,2202,ok
HTTP,81,0.266,2048,154,2202,ok
HTTP,82,0.275,2048,154,2202,ok
HTTP,83,0.275,2048,154,2202,ok
HTTP,84,0.269,2048,154,2202,ok
HTTP,85,0.266,2048,154,2202,ok
HTTP,86,0.295,2048,154,2202,ok
HTTP,87,0.324,2048,154,2202,ok
HTTP,88,1.385,2048,154,2202,ok
HTTP,89,2.443,2048,154,2202,ok
HTTP,90,0.382,2048,154,2202,ok
HTTP,91,0.381,2048,154,2202,ok
HTTP,92,0.439,2048,154,2202,ok
HTTP,93,0.555,2048,154,2202,ok
HTTP,94,0.667,2048,154,2202,ok
HTTP,95,0.354,2048,154,2202,ok
HTTP,96,0.371,2048,154,2202,ok
HTTP,97,0.363,2048,154,2202,ok
HTTP,98,0.342,2048,154,2202,ok
HTTP,99,0.342,2048,154,2202,ok
HTTP,100,0.367,2048,154,2202,ok
